time phi1_2 psi1_2 phi2_3 psi2_3 phi2_4 psi2_4
3300.0 -1.023042 -0.608498 0.954985 -2.89692 -1.457694 1.955022
3310.0 -0.977448 -0.647168 0.959355 3.108915 -1.140257 2.337311
3320.0 -1.233284 -0.595625 0.803019 -2.898891 -1.07323 2.476449
3330.0 -1.100296 -0.915078 0.718447 3.130023 -1.459356 2.357139
3340.0 -1.07205 -0.686745 0.882341 -2.953662 -1.354896 2.516636
3350.0 -1.073544 -0.500494 0.810759 3.123444 -1.042852 2.413461
3360.0 -1.195259 2.22357 1.071526 -2.613358 -1.188704 1.519342
3370.0 -1.185311 -0.450987 0.972475 -3.065962 -1.177396 2.254447
3380.0 -0.963406 -0.357297 1.092513 -2.959376 -1.196925 2.718305
3390.0 -1.159469 -0.370292 0.937074 -2.821361 -1.107909 2.229551
3400.0 -0.912589 -0.802768 0.867296 -2.860441 -1.200338 2.336029
3410.0 -1.153786 -0.601166 0.988358 -2.932996 -1.012346 2.54614
3420.0 -0.801267 -0.698225 0.840189 -2.983368 -1.312576 2.317026
3430.0 -0.993034 2.213884 2.529534 -1.647319 -2.382056 1.674702
3440.0 -1.290783 -0.636692 0.988527 -3.079508 -1.104447 2.335614
3450.0 -1.477992 -0.694844 0.844719 -3.059796 -1.229276 2.506115
3460.0 -1.399735 -1.04675 0.676856 -2.958825 -1.282095 2.495068
3470.0 -1.383119 -1.2481 0.943261 -2.864767 -1.017067 2.41752
3480.0 -1.572014 -0.561593 1.045933 3.049388 -1.251506 2.533144
3490.0 -1.55664 -0.917993 0.896804 -3.083702 -1.288752 2.39116
3500.0 -1.324631 -1.153775 1.158802 -2.832606 -1.061423 2.239056
3510.0 -1.291865 -0.876578 1.097415 -3.077778 -1.373877 2.235059
3520.0 -0.831031 -0.768384 1.104038 -2.95736 -0.945035 2.426814
3530.0 -1.097164 1.989645 1.066462 -2.824105 -1.043824 2.136825
3540.0 -1.160836 -0.49491 0.948123 2.990438 -1.289724 2.430881
3550.0 -1.567711 1.666924 1.071934 -2.671518 -1.14462 2.399963
3560.0 -1.147685 1.83925 1.456585 -2.691518 -1.250584 1.882212
3570.0 -1.339298 1.731707 0.833607 3.104368 -0.995063 2.519783
3580.0 -1.175285 -0.44052 1.027204 -3.06419 -1.160298 2.541076
3590.0 -1.128304 -0.405467 0.853473 -3.01035 -0.950494 2.601325
3600.0 -1.441829 -0.600533 0.771268 -2.890942 -1.034917 2.466909
