time phi1_2 psi1_2 phi2_3 psi2_3 phi3_4 psi3_4 omega3_4
2860.0 -1.386298 2.154736 -1.499691 1.59916 1.194995 1.578256 3.063253
2870.0 -0.912263 -0.73843 -1.529119 2.198425 1.469518 1.295436 2.71923
2880.0 -1.424147 -0.629594 -1.363995 2.286958 0.965203 1.248549 2.98369
2890.0 -1.248412 2.309622 -1.571905 1.768005 0.91327 0.973893 2.960212
2900.0 -1.163659 2.368888 -1.554088 1.842562 1.330621 -3.068474 0.909022
2910.0 -1.224547 2.176803 -1.260477 1.668912 1.069369 -3.120177 0.851236
2920.0 -1.170701 -0.571715 -1.08885 1.867203 1.050535 3.037676 1.027402
2930.0 -1.182568 1.808689 -1.368227 2.016836 1.105654 2.89824 1.103283
2940.0 -1.396589 1.827855 -1.310344 1.79269 1.171368 2.836079 2.936441
2950.0 -1.351024 2.09072 -1.007365 1.961805 1.078435 -3.017797 1.16468
2960.0 -1.257241 2.073327 -1.13644 1.864567 1.140836 3.050486 0.82053
2970.0 -1.386143 2.15144 -1.147384 2.087124 1.428699 -3.076071 1.010563
2980.0 -1.605983 1.361154 -1.217299 -0.666362 0.938328 2.901414 -3.066001
2990.0 -1.631578 1.598892 -1.306788 -1.002441 1.29658 2.348245 -3.035973
3000.0 -1.304472 2.078312 -1.696296 1.459553 1.042457 3.077061 0.979323
3010.0 -1.368821 2.057526 -1.36143 1.35884 1.098951 -2.864007 0.909119
3020.0 -1.386646 1.902575 -0.979569 -0.913201 1.009719 -2.965652 -3.096775
3030.0 -1.213627 2.014283 -1.236318 1.803813 1.161976 -2.925063 1.070862
3040.0 -1.302881 1.972333 -1.566508 1.501604 0.8959 3.065441 1.121104
3050.0 -1.50807 1.891992 -1.145664 -0.840088 1.187769 2.926308 3.123588
3060.0 -1.214293 1.9361 -0.556977 2.197575 1.234908 -2.937189 -3.024919
3070.0 -1.360266 1.685354 -0.939067 1.900234 1.163271 3.080286 0.920112
3080.0 -1.119923 2.222068 -0.924015 2.003009 1.614818 3.135446 -2.816813
3090.0 -1.191953 2.108411 -1.427884 2.040371 1.42324 3.03547 1.115787
3100.0 -1.202782 2.038116 -1.540526 2.208412 1.281143 -2.943456 -3.090165
3110.0 -1.299651 1.822304 -1.652133 2.190745 1.242157 3.044769 -3.13429
3120.0 -1.219345 2.187375 -0.622457 1.768879 1.123089 -2.963039 1.030442
3130.0 -1.35387 1.611863 -1.000145 -1.19476 1.018109 2.919815 -2.974018
3140.0 -1.239118 1.891934 -1.024917 2.133161 1.207902 3.128159 0.870849
3150.0 -1.308191 1.840429 -1.140238 1.67757 1.262374 3.121864 0.948225
3160.0 -1.258617 2.196415 -1.64654 1.598493 1.069703 -3.018138 1.048159
3170.0 -1.673135 1.756412 -1.320088 -0.797253 0.935363 -3.070874 3.025814
3180.0 -0.96339 2.12101 -0.903814 1.954405 1.262735 -3.036776 1.228809
3190.0 -1.306802 1.91515 -0.460576 1.681234 1.308265 2.830524 1.231396
3200.0 -1.644908 1.834461 -1.380883 2.03915 1.123417 -3.011277 0.977491
3210.0 -1.172828 2.191408 -1.113742 2.085473 1.075724 3.139712 1.052714
3220.0 -1.350343 2.038024 -1.573401 1.476248 1.337016 -3.092126 1.284957
